num_downloads,month
671,10/1/22
5931,9/1/22
4956,8/1/22
4463,7/1/22
4304,6/1/22
5384,5/1/22
5643,4/1/22
5709,3/1/22
4409,2/1/22
3657,1/1/22
3931,12/1/21
4169,11/1/21
3659,10/1/21
3353,9/1/21
3155,8/1/21
4318,7/1/21
3313,6/1/21
3274,5/1/21
3037,4/1/21
3490,3/1/21
3090,2/1/21
3021,1/1/21
2629,12/1/20
2629,11/1/20
2116,10/1/20
2314,9/1/20
3045,8/1/20
2821,7/1/20
3009,6/1/20
3500,5/1/20
2573,4/1/20
2167,3/1/20
1102,2/1/20
2055,1/1/20
1128,12/1/19
755,11/1/19
